player_id,batter,match_id,match_date,format,season,batting_team,opponent_team,Runs,Balls_Faced,Fours,Sixes,Strike_Rate,Dismissals,Not_Out
100,A Dizija,1506440,2025-10-31,T20,2025/26,Serbia,Cyprus,2,13,0,0,15.38,1,0
100,A Dizija,1506441,2025-10-31,T20,2025/26,Serbia,Cyprus,28,26,0,2,107.69,1,0
100,A Dizija,1506442,2025-11-01,T20,2025/26,Serbia,Bulgaria,2,11,0,0,18.18,1,0
100,A Dizija,1506443,2025-11-01,T20,2025/26,Serbia,Bulgaria,17,11,2,0,154.55,1,0
100,A Dizija,1539476,2026-06-26,T20,2026,Serbia,Luxembourg,31,45,2,1,68.89,1,0
100,A Dizija,1539479,2026-06-27,T20,2026,Serbia,Luxembourg,25,24,4,0,104.17,1,0
100,A Dizija,1543364,2026-07-08,T20,2026,Serbia,Romania,13,13,1,1,100.0,1,0
100,A Dizija,1543369,2026-07-10,T20,2026,Serbia,Belgium,11,22,1,0,50.0,1,0
100,A Dizija,1543374,2026-07-12,T20,2026,Serbia,Gibraltar,3,3,0,0,100.0,1,0
100,A Dizija,1543377,2026-07-14,T20,2026,Serbia,Estonia,18,17,2,0,105.88,1,0
1000,Abdulla Pervaiz,1538443,2026-06-01,T20,2026,Bahrain,Hong Kong,40,29,5,2,137.93,1,0
1000,Abdulla Pervaiz,1538446,2026-06-03,T20,2026,Bahrain,Oman,27,28,4,1,96.43,1,0
1000,Abdulla Pervaiz,1538450,2026-06-05,T20,2026,Bahrain,Singapore,40,33,3,3,121.21,1,0
10000,Rashid Hashmi,1444947,2024-08-02,T20,2024,Croatia,Spain,1,17,0,0,5.88,1,0
10000,Rashid Hashmi,1534043,2026-05-17,T20,2026,Croatia,France,5,10,0,0,50.0,1,0
10000,Rashid Hashmi,1534053,2026-05-20,T20,2026,Croatia,Jersey,20,17,3,0,117.65,1,0
10000,Rashid Hashmi,1534060,2026-05-23,T20,2026,Croatia,Austria,28,25,1,1,112.0,1,0
10001,Rashid Hussain,746097,2014-06-10,ODM,2014,Bahrain,Saudi Arabia,0,4,0,0,0.0,1,0
10002,Rashid Khan,1063050,2016-11-14,T20,2016/17,Comilla Victorians,Dhaka Dynamites,2,3,0,0,66.67,1,0
10002,Rashid Khan,1063062,2016-11-13,T20,2016/17,Comilla Victorians,Khulna Titans,10,7,1,1,142.86,0,1
10002,Rashid Khan,1063075,2016-11-26,T20,2016/17,Comilla Victorians,Dhaka Dynamites,3,4,0,0,75.0,1,0
10002,Rashid Khan,1063087,2016-12-04,T20,2016/17,Comilla Victorians,Rangpur Riders,11,4,2,0,275.0,0,1
10002,Rashid Khan,1082600,2017-04-12,T20,2017,Sunrisers Hyderabad,Mumbai Indians,2,4,0,0,50.0,1,0
10002,Rashid Khan,1082609,2017-04-17,T20,2017,Sunrisers Hyderabad,Kings XI Punjab,6,1,0,1,600.0,0,1
10002,Rashid Khan,1082634,2017-05-06,T20,2017,Sunrisers Hyderabad,Rising Pune Supergiant,3,4,0,0,75.0,1,0
10002,Rashid Khan,1094673,2017-08-05,T20,2017,Guyana Amazon Warriors,St Kitts and Nevis Patriots,0,1,0,0,0.0,0,1
